year,city,state,shape,latitude,longitude
1966,Utica,NY,Pyramid,43.1008333,-75.2330556
1966,Albuquerque,NM,Diamond,35.0844444,-106.6505556
1966,Santa Fe,NM,Disk,35.6869444,-105.9372222
1966,Seattle,WA,Disk,47.6063889,-122.3308333
1966,Hempstead,NY,Other,40.7061111,-73.6191667
1966,Jacksonville,FL,Chevron,30.3319444,-81.6558333
1966,Corpus Christi,TX,Sphere,27.8002778,-97.3961111
1966,Huntington Beach,CA,Sphere,33.6602778,-117.9983333
1966,Winston-Salem,NC,Pyramid,36.0997222,-80.2444444
1966,Flagstaff,AZ,Disk,35.1980556,-111.6505556
1966,Leavenworth,WA,Pyramid,47.5963889,-120.6602778
1967,Chaffee,NY,Sphere,42.5680556,-78.4791667
1967,Greenville,IL,Sphere,38.8922222,-89.4130556
1967,Minneapolis,MN,Disk,44.98,-93.2636111
1967,Birmingham,AL,Sphere,33.5205556,-86.8025
1967,Hampstead,NC,Disk,34.3675,-77.7108333
1967,North Hollywood,CA,Sphere,34.1722222,-118.3780556
1967,Saugus,CA,Formation,34.4113889,-118.5391667
1967,Cherokee Village,AR,Sphere,36.2977778,-91.5158333
1967,Old Greenwich,CT,Disk,41.0227778,-73.5652778
1967,Midland,TX,Formation,31.9972222,-102.0775
1967,Ada,OK,Sphere,34.7744444,-96.6780556
1967,Syracuse,NY,Disk,43.0480556,-76.1477778
1967,Whippany,NJ,Disk,40.8244444,-74.4175
1967,Lantana,FL,Other,26.5863889,-80.0522222
1967,Chicago,IL,Disk,41.85,-87.65
1967,Blaine,WA,Other,48.9938889,-122.7458333
1967,Silver Lake,OR,Other,43.1280556,-121.045
1967,Tiburon,CA,Sphere,37.8736111,-122.4555556
1968,Hawthorne,CA,Sphere,33.9163889,-118.3516667
1968,Brevard,NC,Sphere,35.2333333,-82.7344444
1968,Boston,MA,Cylinder,42.3583333,-71.0602778
1968,Kennebunkport,ME,Sphere,43.3616667,-70.4772222
1968,Hastings,MN,Pyramid,44.7433333,-92.8522222
1968,Crystal Lake,IL,Cylinder,42.2411111,-88.3161111
1968,Bancroft (Rural Area Near),WI,Formation,44.3097222,-89.5136111
1968,Ashtabula (Saybrook Twnshp.),OH,Disk,41.865,-80.79
1968,Wayne,MI,Sphere,42.2813889,-83.3863889
1968,Lakeland,FL,Disk,28.0391667,-81.95
1968,Walla Walla,WA,Other,46.0647222,-118.3419444
1968,Springfield,MA,Disk,42.1013889,-72.5902778
1968,Miami,FL,Sphere,25.7738889,-80.1938889
1968,London Mills,IL,Disk,40.7105556,-90.2661111
1968,Nunda,SD,Disk,44.1622222,-97.0186111
1968,San Diego (Allied Gardens),CA,Other,32.7152778,-117.1563889
1968,Enid,OK,Formation,36.3955556,-97.8780556
1968,Burlington,NJ,Sphere,40.0711111,-74.8652778
1968,Lawndale,CA,Sphere,33.8872222,-118.3516667
1968,West Monroe,LA,Formation,32.5091667,-92.1191667
1968,Wheaton,MD,Sphere,39.0397222,-77.0555556
1968,Kent,WA,Pyramid,47.3811111,-122.2336111
1968,American Falls,ID,Disk,42.7861111,-112.8536111
1969,San Francisco,CA,Sphere,37.775,-122.4183333
1969,Millington,TN,Formation,35.3413889,-89.8972222
1969,Memphis,TN,Formation,35.1494444,-90.0488889
1969,Sharon,CT,Sphere,41.8791667,-73.4772222
1969,Pearl,MS,Cylinder,32.2744444,-90.1319444
1969,Wilmington,DE,Sphere,39.7458333,-75.5469444
1969,Hurst,TX,Disk,32.8233333,-97.1702778
1969,Miami,FL,Other,25.7738889,-80.1938889
1969,Exeter (Near),NH,Cylinder,42.9813889,-70.9483333
1969,Alpine,AZ,Disk,33.8480556,-109.1425
1969,Erie,PA,Sphere,42.1291667,-80.0852778
1969,Fulton,NY,Cylinder,43.3227778,-76.4175
1969,Fulton,NY,Cylinder,43.3227778,-76.4175
1969,Fulton,NY,Cylinder,43.3227778,-76.4175
1969,Fulton,NY,Sphere,43.3227778,-76.4175
1969,San Juan Capistrano,CA,Other,33.5016667,-117.6616667
1969,Fairbanks,AK,Formation,64.8377778,-147.7163889
1969,San Jose,CA,Formation,37.3394444,-121.8938889
1969,Farmerville,LA,Other,32.7733333,-92.4055556
1969,Kenai,AK,Formation,60.5544444,-151.2583333
1970,Bellmore,NY,Disk,40.6686111,-73.5275
1970,Manchester,KY,Other,37.1536111,-83.7619444
1970,New York City (Brooklyn),NY,Disk,40.7141667,-74.0063889
1970,Bentonville,AR,Other,36.3727778,-94.2086111
1970,Tampa,FL,Other,27.9472222,-82.4586111
1970,New York City (Brooklyn),NY,Disk,40.7141667,-74.0063889
1970,Westland,MI,Other,42.3241667,-83.4002778
1970,Lindenhurst,NY,Sphere,40.6866667,-73.3738889
1970,Corpus Christi,TX,Sphere,27.8002778,-97.3961111
1970,Columbus,OH,Sphere,39.9611111,-82.9988889
1970,Somerville,NJ,Disk,40.5741667,-74.6102778
1970,Joplin,MO,Other,37.0841667,-94.5130556
1970,Grand Rapids,MI,Disk,42.9633333,-85.6680556
1971,Lexington,NC,Sphere,35.8238889,-80.2536111
1971,Pasadena,CA,Disk,34.1477778,-118.1436111
1971,Menands (Albany),NY,Chevron,42.6919444,-73.725
1971,Bristol,CT,Disk,41.6716667,-72.9497222
1971,Bremerton,WA,Disk,47.5675,-122.6313889
1971,Litchfield,CT,Sphere,41.7472222,-73.1891667
1971,Tinley Park,IL,Disk,41.5733333,-87.7844444
1971,Lago Vista (Near Austin),TX,Formation,30.46,-97.9880556
1971,Bristol,CT,Pyramid,41.6716667,-72.9497222
1971,Holliston,MA,Other,42.2,-71.425
1971,Monterey Park,CA,Sphere,34.0625,-118.1219444
1971,Lake Victor,TX,Sphere,30.9088889,-98.1930556
1971,Knox,NY,Disk,42.6711111,-74.1161111
1972,Harlan County,KY,Sphere,36.8430556,-83.3219444
1972,West Bloomfield,MI,Disk,42.5377778,-83.2330556
1972,Potwin,KS,Other,37.9388889,-97.0194444
1972,Denton,TX,Other,33.2147222,-97.1327778
1972,Mosheim,TX,Disk,31.6261111,-97.5997222
1972,Monroe,WA,Rectangle,47.8555556,-121.9697222
1972,Wellsville,NY,Disk,42.1219444,-77.9483333
1972,Monroeville,AL,Cylinder,31.5277778,-87.3247222
1972,Trinidad,CA,Formation,41.0594444,-124.1419444
1972,Hiawassee,GA,Sphere,34.9491667,-83.7575
1972,Seattle,WA,Pyramid,47.6063889,-122.3308333
1972,Huntsville,AL,Other,34.7302778,-86.5861111
1972,Lebanon,TN,Sphere,36.2080556,-86.2911111
1973,Niantic,CT,Disk,41.3252778,-72.1936111
1973,Jupiter,FL,Sphere,26.9338889,-80.0944444
1973,Montezuma,IN,Sphere,39.7927778,-87.3708333
1973,Virginia Beach,VA,Disk,36.8527778,-75.9783333
1973,Bloomington,IN,Formation,39.1652778,-86.5263889
1973,Roseburg,OR,Cylinder,43.2166667,-123.3405556
1973,Beatty,NV,Disk,36.9086111,-116.7583333
1973,Hixson,TN,Sphere,35.1405556,-85.2327778
1973,Valley City,OH,Disk,41.2377778,-81.9316667
1973,Birmingham (Just South Of),AL,Disk,33.5205556,-86.8025
1973,Weldon,NC,Sphere,36.4269444,-77.5958333
1973,Spokane,WA,Sphere,47.6588889,-117.425
1973,Collierville,TN,Disk,35.0419444,-89.6644444
1973,Chazy,NY,Formation,44.8897222,-73.4363889
1973,Englewood,TN,Disk,35.4244444,-84.4875
1973,Houston,TX,Sphere,29.7630556,-95.3630556
1973,Millington,TN,Disk,35.3413889,-89.8972222
1973,Montgomery,AL,Formation,32.3666667,-86.3
1973,Charlotte,NC,Sphere,35.2269444,-80.8433333
1973,Carthage,IN,Sphere,39.7383333,-85.5719444
1973,Federalsburg,MD,Disk,38.6941667,-75.7725
1973,Baltimore,MD,Disk,39.2902778,-76.6125
1973,Baltimore,MD,Disk,39.2902778,-76.6125
1973,Jacksonville Beach,FL,Other,30.2944444,-81.3933333
1973,Centerville,OH,Other,39.6283333,-84.1594444
1973,Centerville,OH,Sphere,39.6283333,-84.1594444
1973,Green River (20 Miles West Of On I-70),UT,Disk,38.9952778,-110.1611111
1973,Green River,UT,Disk,38.9952778,-110.1611111
1973,Wilson,OK,Cylinder,34.1619444,-97.4255556
1973,El Centro (A Few Miles West Of),CA,Formation,32.7919444,-115.5622222
1973,Tupelo,MS,Disk,34.2575,-88.7033333
1973,Boone,NC,Disk,36.2166667,-81.6747222
1973,West Chester,PA,Disk,39.8494444,-75.3561111
1973,Key West,FL,Disk,24.5552778,-81.7827778
1973,Colbert Heights,AL,Disk,34.6608333,-87.6944444
1973,New York City (Manhattan),NY,Disk,40.7141667,-74.0063889
1973,Chattanooga,TN,Sphere,35.0455556,-85.3097222
1973,Farmington (Se Of&#44 Deserted Area&#44 Hwy 44),NM,Formation,36.7280556,-108.2180556
1973,Kapaa,HI,Cylinder,22.0783333,-159.3219444
1974,Hudson,MA,Other,42.3916667,-71.5666667
1974,Hudson,KS,Formation,38.1055556,-98.6597222
1974,Denton,TX,Other,33.2147222,-97.1327778
1974,Weirton,WV,Sphere,40.4188889,-80.5897222
1974,Deerwood,MN,Other,46.4736111,-93.8986111
1974,Chester,NJ,Formation,40.7841667,-74.6972222
1974,Fulton,MO,Diamond,38.8466667,-91.9477778
1974,Memphis,TN,Cylinder,35.1494444,-90.0488889
1974,Bath,OH,Sphere,41.1888889,-81.6363889
1974,San Francisco (South Of),CA,Formation,37.775,-122.4183333
1974,La Junta,CO,Other,37.985,-103.5433333
1974,Hopkinsville,KY,Sphere,36.8655556,-87.4886111
1974,San Jose,CA,Sphere,37.3394444,-121.8938889
1974,Houston,TX,Sphere,29.7630556,-95.3630556
1974,Owensboro,KY,Formation,37.7741667,-87.1133333
1974,Oneonta,AL,Sphere,33.9480556,-86.4727778
1974,Eastland,UT,Sphere,37.8036111,-109.1333333
1974,Rockford,IL,Formation,42.2711111,-89.0938889
1974,Chicago,IL,Sphere,41.85,-87.65
1974,Yakima,WA,Pyramid,46.6022222,-120.5047222
1974,Nashville,TN,Formation,36.1658333,-86.7844444
1974,Alpine,TX,Formation,30.3583333,-103.6605556
1974,Davenport,IA,Formation,41.5236111,-90.5775
1974,Oil City,PA,Other,41.4338889,-79.7066667
1974,New Orleans,LA,Disk,29.9544444,-90.075
1974,Cordova,AK,Disk,60.5427778,-145.7575
1974,Aiken,SC,Other,33.5602778,-81.7197222
1974,Higgins Lake,MI,Sphere,44.4836111,-84.7797222
